SampleID, Sa g, Emb g,Net w g,,Sed mg,Sed cm3,,,,H2O cm3,Ice cm3,Ibg cm3,vsed/visb,mg/l isbj,,dens isbj,,t/km3
SeSed,3767,,3767,,0,0,,,,3767,4185.555556,4185.555556,0,0,,0.9,,0
SE1A,1189.5,58.5,1131,,17,0.00641509434,,,,1130.993585,1256.659539,1256.665954,0.000005104852503,13.52785913,,0.9000089335,,13527.85913
SE1 B,879.2,46.66,832.54,,14.5,0.005471698113,,,,832.5345283,925.0383648,925.0438365,0.000005915068992,15.67493283,,0.9000103514,,15674.93283
SE1C,1897,46.29,1850.71,,13.5,0.005094339623,,,,1850.704906,2056.338784,2056.343878,0.000002477377289,6.565049816,,0.9000043354,,6565.049816
SE2A,1212.5,59.07,1153.43,,141.1,0.05324528302,,,,1153.376755,1281.529727,1281.582973,0.00004154649691,110.0982168,,0.9000727064,,110098.2168
SE2B,1575.8,69.3,1506.5,,170.7,0.06441509434,,,,1506.435585,1673.817317,1673.881732,0.00003848246451,101.978531,,0.9000673443,,101978.531
SE2C,1350,46.66,1303.34,,252.6,0.09532075472,,,,1303.244679,1448.049644,1448.144964,0.00006582266076,174.430051,,0.9001151897,,174430.051
SE3A,1345.2,48.07,1297.13,,88,0.03320754717,,,,1297.096792,1441.218658,1441.251866,0.00002304076613,61.05803024,,0.9000403213,,61058.03024
SE3B,1627,48.13,1578.87,,57.7,0.02177358491,,,,1578.848226,1754.275807,1754.297581,0.00001241156868,32.890657,,0.9000217202,,32890.657
SE3C,1714.5,59.42,1655.08,,35.8,0.01350943396,,,,1655.066491,1838.962767,1838.976277,0.000007346170874,19.46735282,,0.9000128558,,19467.35282
3.1.A,1207,48.31,1158.69,,5.7,0.002150943396,,,,1158.687849,1287.430943,1287.433094,0.000001670722468,4.427414539,,0.9000029238,,4427.414539
3.1.B,1598,46.39,1551.61,,8.4,0.003169811321,,,,1551.60683,1724.007589,1724.010759,0.000001838626183,4.872359384,,0.9000032176,,4872.359384
3.1.C,1401,57.25,1343.75,,149,0.05622641509,,,,1343.693774,1492.993082,1493.049308,0.00003765877978,99.79576641,,0.9000659029,,99795.76641
3.2.A,1795,46.18,1748.82,,83,0.03132075472,,,,1748.788679,1943.098532,1943.129853,0.00001611871418,42.71459257,,0.9000282077,,42714.59257
3.2.B,1675,57.57,1617.43,,79.8,0.03011320755,,,,1617.399887,1797.110985,1797.141099,0.00001675617322,44.40385903,,0.9000293233,,44403.85903
3.2.C,2315,68.9,2246.1,,25.6,0.009660377358,,,,2246.09034,2495.655933,2495.665593,0.0000038708621,10.25778456,,0.900006774,,10257.78456
3.3A,1514,93.74,1420.26,,15.4,0.005811320755,,,,1420.254189,1578.06021,1578.066021,0.0000036825587,9.758780555,,0.9000064445,,9758.780555
3.3.B,815,58.34,756.66,,393.3,0.1484150943,,,,756.5115849,840.5684277,840.7168428,0.0001765339848,467.8150597,,0.9003089345,,467815.0597
3.3.C,1765,49.03,1715.97,,17.4,0.006566037736,,,,1715.963434,1906.626038,1906.632604,0.000003443787609,9.126037164,,0.9000060266,,9126.037164
Sediment,1480,,1480,,0,0,,,,1480,1644.444444,1644.444444,0,0,,0.9,,0
1.1.A,1309,58.76,1250.24,,9.3,0.003509433962,,,,1250.236491,1389.151656,1389.155166,0.000002526308111,6.694716494,,0.900004421,,6694.716494
1.1.B,1048,64.86,983.14,,3.2,0.00120754717,,,,983.1387925,1092.376436,1092.377644,0.000001105430138,2.929389867,,0.9000019345,,2929.389867
1.1.C,1797,69.1,1727.9,,5.4,0.002037735849,,,,1727.897962,1919.886625,1919.888662,0.000001061382302,2.812663102,,0.9000018574,,2812.663102
1.2.A,1598,64.87,1533.13,,12.6,0.004754716981,,,,1533.125245,1703.472495,1703.477249,0.000002791183142,7.396635326,,0.9000048846,,7396.635326
1.2.B,1839,55.81,1783.19,,5.6,0.002113207547,,,,1783.187887,1981.319874,1981.321987,0.000001066564425,2.826395727,,0.9000018665,,2826.395727
1.2.C,2007,56.52,1950.48,,7.2,0.002716981132,,,,1950.477283,2167.196981,2167.199698,0.000001253682868,3.322259599,,0.9000021939,,3322.259599
1.3.A,2047,66.11,1980.89,,2.5,0.0009433962264,,,,1980.889057,2200.987841,2200.988784,0.0000004286238227,1.13585313,,0.9000007501,,1135.85313
1.3.B,2240,46.15,2193.85,,1.7,0.000641509434,,,,2193.849358,2437.610398,2437.61104,0.0000002631713688,0.6974041273,,0.9000004605,,697.4041273
