y,x,name,region
-2023358.27686105,678382.125203441,1A,CE
-2023328.06461265,678487.847879865,1B,CE
-2023087.29347905,681770.154476226,2A,CE
-2023095.46505676,681809.585425537,2B,CE
-2023099.92606855,681860.414775474,2C,CE
-2043570.26729211,687426.386632499,3A,CE
-2043564.38806736,687354.044385236,3B,CE
-2043564.38806736,687354.044385236,3C,CE
-2046104.54566714,686726.186687916,4A,CE
-2046121.67550727,686689.714521041,4B,CE
-2046097.60535123,686728.132300617,4C,CE
-2044185.56549384,682791.460074568,5A,CE
-2044195.70620781,682750.614105943,5B,CE
-2044252.55773374,682789.087538224,5C,CE
-2037345.24072027,619137.276723707,6A,CE
-2037210.41744948,619106.230605905,6B,CE
-2037160.47185869,619101.610544229,6C,CE
-2036566.65894182,618772.914015205,7A,CE
-2036511.85376659,618754.123612296,7B,CE
-2036412.29447852,618782.78278455,7C,CE
-2035956.1282078,618700.203504608,8A,CE
-2035895.22776753,618706.733625817,8B,CE
-2035851.42959911,618718.800007837,8C,CE
-2035772.77398495,619555.203644468,9A,CE
-2035779.61716396,619579.464510354,9B,CE
-2035767.11452048,619631.055579996,9C,CE
-2036164.00427782,619543.286866572,10B,CE
-2036158.29566218,619577.131828666,10C,CE
-2036091.38503888,619582.764890606,11A,CE
-2036091.91215339,619607.080897752,11B,CE
-2036072.45705096,619621.778461122,11C,CE
-2036035.05076655,619678.954652337,12A,CE
-2047853.73625595,692237.853471326,12B,CE
-2047843.34618645,692243.93172792,12C,CE
-2048248.02672682,691379.042876363,13A,CE
-2048249.17748623,691362.596282769,13B,CE
-2048238.30313378,691344.336037213,13C,CE
-2046493.40540832,685835.197616218,14A,CE
-2046467.01738139,685903.346440036,14B,CE
-2046433.75271439,685937.720218911,14C,CE
-2046511.4856616,683745.003478398,15A,CE
-2046446.59296808,683776.442461266,15B,CE
-2046411.11960589,683811.149107428,15C,CE
-2047112.34809724,680599.95990483,16A,CE
-2049759.68316497,674994.579923132,16B,CE
-2049754.01891144,675041.089053049,16C,CE
-2049434.2848959,674977.060050006,17A,CE
-2049409.56264994,675011.064369315,17B,CE
-2049412.53019878,675027.795697801,17C,CE
-2049868.60117057,675836.19986989,18A,CE
-2049871.21380789,675847.560848679,18B,CE
-2049859.44338245,675880.522361268,18C,CE
-2014616.91270294,730865.036374417,19A,CE
-2014584.7149075,730870.273025878,19B,CE
-2014565.483203,730877.648119268,19C,CE
-2014917.46908743,730543.913927074,20A,CE
-2014888.79516031,730557.661903597,20B,CE
-2014879.35280402,730564.034059731,20C,CE
-2014896.86399181,730308.012871901,21A,CE
-2014887.04002941,730302.697557738,21B,CE
-2014877.23272438,730300.540950999,21C,CE
-2013374.08399308,732633.416204357,22A,CE
-1949374.63439797,679598.928501419,22B,CE
-1949366.80335171,679606.861671856,22C,CE
-1915176.29919632,685435.287666956,23A,CE
-1915188.70585673,685455.061184952,23B,CE
-1915176.29461856,685486.641318688,23C,CE
-1918068.1232327,680222.285249819,24ABC,CE
-2203339.30707546,-203229.493727417,Eq22ib1,CW
-2179393.05680115,-215983.231181082,Eq22ib10,CW
-2179710.15647805,-215029.195267331,Eq22ib11,CW
-2179776.8060688,-215217.203551619,Eq22ib12,CW
-2180049.86679563,-209611.36431809,Eq22ib14,CW
-2179899.77812837,-209485.540803772,Eq22ib15,CW
-2180258.36707054,-212059.178603549,Eq22ib16,CW
-2180641.07390274,-214571.114333611,Eq22ib17,CW
-2180730.56362506,-215086.39304805,Eq22ib18,CW
-2180749.51158008,-216524.117503813,Eq22ib19,CW
-2202982.39683276,-203375.993170092,Eq22ib2,CW
-2189505.27522384,-213419.358376825,Eq22ib20,CW
-2189369.60184245,-213775.64745736,Eq22ib21,CW
-2189352.12683717,-214148.363222827,Eq22ib22,CW
-2202520.7968625,-203807.066261452,Eq22ib3,CW
-2197747.31341687,-216083.464732096,Eq22ib4,CW
-2197748.40782332,-216437.093891887,Eq22ib5,CW
-2198627.70849219,-217005.576128987,Eq22ib6,CW
-2199392.55973903,-209221.077910542,Eq22ib7,CW
-2199392.55973903,-209221.077910542,Eq22ib8,CW
-2199392.67086307,-209221.088481412,Eq22ib9,CW
-2808420.78831728,-309800.808957341,GH2019_01,SW
-2781511.34118405,-289727.345450461,GH2019_02,SW
-2777167.75618931,-283782.589915164,GH2019_03,SW
-2775003.60854043,-285137.098811933,GH2019_04,SW
-2799343.21058445,-253649.883071882,GH2019_05,SW
-2799315.93647541,-253586.552174038,GH2019_06,SW
-2802751.63993248,-258448.300961138,GH2019_07,SW
-2772389.88044143,-272855.199075374,GH2019_08,SW
-2772046.16566105,-271711.628193253,GH2019_09,SW
-2771795.86891821,-272087.156476361,GH2019_10,SW
-2770251.98518668,-271996.614220914,GH2019_11,SW
-2770245.11432271,-272405.738516108,GH2019_13,SW
-2770451.2295086,-272482.597345794,GH2019_14,SW
-2768186.17296194,-269516.666501804,GH2019_15,SW
-2768588.8230148,-268593.586832397,GH2019_16,SW
-2768628.09907214,-268442.981831519,GH2019_17,SW
-2768707.9612324,-268119.368302174,GH2019_18,SW
-2799782.60677856,-253002.213141642,GH2019_19,SW
-2799632.36263219,-252898.447230723,GH2019_20,SW
-2799825.93087958,-252950.302494139,GH2019_21,SW
-2799824.81112352,-252951.211905381,GH2019_22,SW
-2772842.5273935,-264655.948950036,GH2019_23,SW
-2773381.52667652,-263740.729044513,GH2019_24,SW
-2773557.37295159,-263095.067138446,GH2019_25,SW
-2773050.75736101,-261563.782429216,GH2019_26,SW
-2772864.08126324,-261358.900272988,GH2019_27,SW
-2769270.19198404,-267787.666520496,GH2019_28,SW
-2768373.69893171,-269692.988813625,GH2019_29,SW
-2767528.86162892,-275632.029129407,GH2019_30,SW
-2774990.8879063,-285502.667458776,GH2019_31,SW
