Sample ID,Iceberg,Region,Year,Latitude,Longitude,Field weight,Sediment weight,RSC
26833,18,SW,2019,,,316.32,1.61,0.632389331866923
26834,13,SW,2019,,,271.9,2.24,1.06110847939365
26835,19,SW,2019,,,263.02,4.01,1.98593502377179
26836,10,SW,2019,,,266.57,1.43,0.691656590084643
26837,16,SW,2019,,,296.97,0.390000000000008,0.165844531382891
26838,17,SW,2019,,,250.07,8.57,4.48620635502277
26839,5,SW,2019,,,220.47,2.84,1.76682841856414
26840,19,SW,2019,,,271.92,1.31,0.620500189465707
26841,23,SW,2019,,,221.19,14.1,8.75069819400484
26842,24,SW,2019,,,280.97,0.630000000000003,0.286051580094444
26843,5,SW,2019,,,258.79,0.87,0.439949431099874
26844,15,SW,2019,,,242.4,30.36,16.7024261429279
26845,8,SW,2019,,,323.77,10.39,3.92876049308024
26846,7,SW,2019,,,323.97,9.84,3.73123009252237
26847,24,SW,2019,,,275.4,4.31,1.99214236191357
26848,9,SW,2019,,,296.31,0.300000000000004,0.127877237851664
26849,8,SW,2019,,,298.54,2.75,1.15730999074152
26850,21,SW,2019,,,191.1,0.219999999999999,0.17014694508894
26851,6,SW,2019,,,228.77,2.99,1.78999042145594
26852,18,SW,2019,,,298.54,1.06,0.445565363598151
26853,27,SW,2019,,,252.26,0.370000000000005,0.193707135752057
26854,18,SW,2019,,,295.59,2.23,0.95152756443079
26855,25,SW,2019,,,256.42,31.31,15.9614600326264
26856,23,SW,2019,,,341.49,73.16,25.9441824178162
26857,4,SW,2019,,,280.38,34.87,15.8154934687954
26858,6,SW,2019,,,272.22,3.27,1.54712339137017
26859,1,SW,2019,,,191.24,3.87,2.9659717964439
26860,14,SW,2019,,,303.64,12.16,4.99056061725355
26861,20,SW,2019,,,276.48,2.66,1.24072951163767
26862,20,SW,2019,,,296.33,2.98,1.2677614226155
26863,10,SW,2019,,,269.63,1.16,0.553171196948021
26864,23,SW,2019,,,176.66,16.96,14.5679436522934
26865,9,SW,2019,,,328.11,26.55,9.94195843475005
26866,3,SW,2019,,,290.89,11.48,4.97077289456592
26867,1,SW,2019,,,212.87,6.86,4.52387232920074
26868,20,SW,2019,,,248.93,10.94,5.81234725321433
26869,2,SW,2019,,,327.85,31.91,11.9116055097241
26870,27,SW,2019,,,362.82,3.55,1.3373516669806
26871,1,SW,2019,,,207.73,11.1,7.48987854251012
26872,2,SW,2019,,,283.5,3.21,1.44062471950453
26873,3,SW,2019,,,288.18,7.1,3.1143082726555
26874,14,SW,2019,,,289.97,11.91,5.18299316767483
26875,6,SW,2019,,,266.2,14.23,6.91179327763746
26876,14,SW,2019,,,251.95,2.09,1.09201107685877
26877,25,SW,2019,,,210.67,17.08,11.4500234631628
26878,2,SW,2019,,,264.09,16.61,8.14095966279469
26879,15,SW,2019,,,317.1,6.85000000000001,2.68332811031025
26880,13,SW,2019,,,209.23,4.35,2.91398713826367
26882,12,SW,2019,,,244.6,1.54,0.850077279752704
26883,9,SW,2019,,,303.97,4.39,1.82490854672431
26884,25,SW,2019,,,175.82,7.6,6.66549728117874
26885,26,SW,2019,,,322,1.65,0.63681976071015
26886,4,SW,2019,,,258.88,25.5,12.9823846858772
26887,26,SW,2019,,,254.08,0.550000000000004,0.284723300719576
26889,29,SW,2019,,,313.37,0.630000000000003,0.248422712933755
26890,24,SW,2019,,,271.84,3.99,1.91799259722156
26891,11,SW,2019,,,301.6,0.210000000000001,0.0877486210930975
26892,19,SW,2019,,,306.11,2.09,0.86639306885545
26893,15,SW,2019,,,316.69,2.4,0.940365175143013
26894,30,SW,2019,,,304.07,0.640000000000001,0.263276975605743
26895,17,SW,2019,,,167.05,1.8,1.72711571675303
26896,7,SW,2019,,,294.66,2.31,0.99513203808211
26897,17,SW,2019,,,301.1,6.6,2.76451369690877
26898,11,SW,2019,,,585.54,N/A,N/A
26899,26,SW,2019,,,270.39,1.85,0.899280575539569
26900,8,SW,2019,,,306.02,1.29,0.532925720895645
26901,12,SW,2019,,,296.21,2.45,1.05608000344843
26902,7,SW,2019,,,218.82,26.2,16.9535395366895
26903,12,SW,2019,,,171.58,3.99,3.68659336597986
26904,13,SW,2019,,,340.59,8.9,3.22230267921796
26905,5,SW,2019,,,207.42,52.12,25.2519379844961
26906,4,SW,2019,,,318.87,32.1,10.0784929356358
26907,28,SW,2019,,,276.16,8.12,2.94736842105263
26908,10,SW,2019,,,197.72,11.96,6.09271523178808
