Prøve nr.,Vægt is,pose,vand,,vægt sed,vol sed,RSC,,,vol vand,vol is,vol isbj,vsed/visb,mg/l isbj,,dens isbj,,t/km3
1A,722,34.91,687.09,,0.014,0.00528301886792453,1.93905817174515E-05,,,687.084716981132,763.427463312369,763.432746331237,6.92008417678267E-06,18.3382230684741,,0.900012110147309,,18338.2230684741
1B,338,25.56,312.44,,0.0031,0.00116981132075472,9.1715976331361E-06,,,312.438830188679,347.154255765199,347.15542557652,3.36970484851854E-06,8.92971784857414,,0.900005896983485,,8929.71784857414
1C,727,15.27,711.73,,0.0006,0.000226415094339623,8.25309491059147E-07,,,711.729773584906,790.810859538784,790.811085953878,2.86307435949156E-07,0.758714705265264,,0.900000501038013,,758.714705265264
2A,965,30.49,934.51,,0.0106,0.004,1.09844559585492E-05,,,934.506,1038.34,1038.344,3.85228787376823E-06,10.2085628654858,,0.900006741503779,,10208.5628654858
2B,852,43.75,808.25,,0.0027,0.0010188679245283,3.16901408450704E-06,,,808.248981132076,898.054423480084,898.055442348008,1.1345267524513E-06,3.00649589399595,,0.900001985421817,,3006.49589399595
2C,900,35.41,864.59,,0.0029,0.00109433962264151,3.22222222222222E-06,,,864.588905660377,960.654339622642,960.655433962264,1.13915935303448E-06,3.01877228554137,,0.900001993528868,,3018.77228554137
3A,734,24.68,709.32,,0.243,0.0916981132075472,0.000331062670299728,,,709.228301886792,788.03144654088,788.123144654088,0.000116349981382407,308.327450663378,,0.900203612467419,,308327.450663378
3B,629,29.51,599.49,,447.7246,168.952679245283,0.711803815580286,,,430.537320754717,478.374800838574,647.327480083857,0.261000319688879,691650.847175529,,1.35675055945554,,691650847.175529
3C,821,20.14,800.86,,0.7793,0.294075471698113,0.000949208282582217,,,800.565924528302,889.517693920335,889.811769392034,0.000330491775692112,875.803205584097,,0.900578360607461,,875803.205584097
4A,712,19.26,692.74,,48.9021,18.4536226415094,0.0686827247191011,,,674.286377358491,749.207085953878,767.660708595388,0.0240387744675308,63702.7523389567,,0.942067855318179,,63702752.3389567
4B,628,29.24,598.76,,28.7269,10.8403396226415,0.0457434713375796,,,587.919660377358,653.244067085954,664.084406708595,0.0163237376350539,43257.9047328927,,0.928566540861344,,43257904.7328927
