Catchment,Region,Area (m²),Fringe Min,Fringe Max,Fringe Median,Fringe IQR,Dispersed Min,Dispersed Max,Dispersed Median,Dispersed IQR,Total Min,Total Max,Total Median,Total IQR
Daugaard Jensen Gletsjer,CE,50409077292.73679,2297156608.0,97478590464.0,21599560704.0,18765405440.0,11865757.0,7607023616.0,1389708416.0,1303331776.0,2309022365.0,99286024576.0,22046142082.0,22647112368.0
Vestfjord Gletsjer,CE,9486441742.321,18682786.0,36623978496.0,5289045760.0,7979220672.0,2005861.0,351663200.0,82043480.0,103442390.0,20688647.0,36765151920.0,5364213300.0,8064463734.0
Magga Dan Gletsjer,CE,3677390298.4956865,221152560.0,18483982336.0,4100276608.0,4994441792.0,15124334.0,521716320.0,65323740.0,58764431.0,243018850.0,18622161232.0,4189118380.0,5076428426.0
Rolige Brae,CE,4780026780.328326,710183936.0,13477520384.0,3300413184.0,3688963456.0,7389860.0,121400248.0,30314615.0,32386444.0,727573090.0,13598920632.0,3321543203.0,3688419602.0
Bredegletsjer,CE,1131865919.2035866,35364928.0,3422536448.0,1367700928.0,1091553184.0,2462142.0,433623264.0,96111256.0,99201562.0,42808894.0,3603200288.0,1504222816.0,992652276.0
Graah Gletscher,CE,996544797.505297,113604624.0,8832252928.0,1467620096.0,1606931664.0,7346262.0,104353648.0,24972784.0,12584560.0,129487859.0,8871683388.0,1493732583.0,1663644729.0
Sydbrae,CE,851722106.6384532,51191396.0,2621666560.0,996225440.0,1055676256.0,22441116.0,205646272.0,41990102.0,27281442.0,86022804.0,2653511052.0,1028549620.0,1046228781.0
Kista Dan Gletsjer,CE,1894885998.9051309,117065152.0,3814558208.0,688935712.0,917211768.0,10583535.0,119370968.0,21486757.0,21314582.0,142309578.0,3933929176.0,716244771.0,948638715.0
Charcot Gletscher,CE,573373845.466555,3873386.0,1982846592.0,181118640.0,534952218.0,5604998.0,95848840.0,16246216.0,15964225.0,18026930.0,2024399224.0,193570568.0,531871207.0
Eielson Gletsjer,CE,8587211848.09607,1760634.0,1350725632.0,85193016.0,264075102.0,35855.0,14019276.0,1344046.0,1146957.0,1860436.0,1364744908.0,86237500.0,263532388.0
Dode Brae,CE,1019785449.0374207,324914.0,1866656.0,487856.0,306550.0,6105918.0,192098720.0,18532349.0,21162636.0,6460954.0,192943322.0,19261706.0,21294291.0
Sermeq Avannarleq,CW,27942330046.781845,303999968.0,46706126848.0,10366068224.0,17377686400.0,649011.0,55391924.0,1582500.0,1569153.0,306416524.0,46709106542.0,10369023841.0,17377165765.0
Kangilernata Sermia,CW,36735915371.092064,891283456.0,40048730112.0,6719807232.0,11356987328.0,5263292.0,526559296.0,53025676.0,112645128.0,901819241.0,40313555008.0,6749845342.0,11522189328.0
Sermeq Kullajeq,CW,7018517432.311339,15106138.0,9198796800.0,2595960576.0,1034322400.0,344556.0,147937968.0,12039854.0,9664309.0,19465684.0,9237579348.0,2631477944.0,1074717775.0
Eqip Sermia,CW,415780738.2997517,139089584.0,15976454144.0,2210913920.0,3002195488.0,930612.0,251502352.0,59947532.0,103041504.0,242237600.0,16227956496.0,2260816236.0,3081286280.0
Kangiata Nunaata Sermia,SW,21903021390.160072,51285276.0,273516838912.0,17866125312.0,89643066880.0,2649842.0,81016471552.0,4788678400.0,7868710848.0,67371106.0,336848781312.0,22193238528.0,107127604468.0
Narsap Sermia,SW,7706902152.957992,118679472.0,54123601920.0,1737559872.0,929465120.0,22994566.0,9457456128.0,33368628.0,46775643.0,142549476.0,60642949632.0,1777343468.0,950410610.0
Akullersuup Sermia,SW,1628376328.452073,20204528.0,1045001856.0,145872596.0,537186654.0,540611.0,55227212.0,4431638.0,7170061.0,22096163.0,1080167372.0,152095398.0,541694610.0
