Catchment,Area (m²),Ice Discharge (kg/yr),Ice Yield (kg m⁻² yr⁻¹),Sediment Yield (kg m⁻² yr⁻¹),Total Flux (kg/yr),Gate Number,Gate Longitude,Gate Latitude
Gate 180.0,74482670000.0,40899360398982.72,549.1124364766022,0.5647793748762716,42066275801.71563,180.0,-180338.33507306778,-2268794.5494186166
Gate 28.0,221973800000.0,15536687694924.23,69.99334018214866,0.1670204880385084,37074172407.76226,28.0,488548.93006268254,-1099569.840116396
Gate 186.0,48752170000.0,27909012802296.668,572.4670881787758,0.5788654308432715,28220945891.594414,186.0,483948.32985386293,-2287001.162790705
Gate 227.0,42807910000.0,29138400784402.945,680.6779584521399,0.6412819651230348,27451940647.610012,227.0,304124.86951983575,-2576506.3226744374
Gate 139.0,29525100000.0,12482916737771.78,422.78999013624946,0.4838694731256997,14286294580.983597,139.0,-224344.07620041879,-1976088.2267441843
Gate 165.0,37198530000.0,7475146482943.8125,200.95273880295304,0.3116545023323397,11593089354.64461,165.0,-194740.21398747407,-2181362.7906976803
Gate 239.0,10723770000.0,16590115878715.312,1547.0413743222125,1.0421606543745916,11175891160.562614,239.0,184709.29018789405,-2721959.1569767767
Gate 24.0,14030370000.0,11977955868794.537,853.7163217217035,0.7332136784834701,10287259198.184124,24.0,-261948.98225470888,-996332.3401163202
Gate 70.0,19040960000.0,8727443203464.479,458.351007694175,0.5075423124373366,9664092869.426828,70.0,-383964.90083507245,-1470104.4331395316
Gate 130.0,33420940000.0,5910921902072.487,176.86282618240202,0.28898376249704755,9658108987.388077,130.0,-296953.54906054225,-1823432.7761627866
Gate 114.0,33290790000.0,4861107095054.743,146.0195776385824,0.2580181047060192,8589626539.966098,114.0,-321756.7849686842,-1666375.7267441913
Gate 233.0,8564300000.0,11535177230078.652,1346.8908410586566,0.960169103166943,8223176250.25265,233.0,228314.9791231766,-2677142.877907007
Gate 269.0,22062970000.0,4783399346061.049,216.80668314651422,0.3259706527215892,7191880731.876841,269.0,-223944.0240083547,-2824796.511627956
Gate 26.0,4072540000.0,13262835134749.146,3256.64944598436,1.6185661090087866,6591675221.5826435,26.0,439142.48434241704,-1073160.2470931148
Gate 131.0,10834850000.0,6522202411130.225,601.9651782101482,0.5963255772678163,6461098180.8602,131.0,-295353.3402922734,-1837437.8633720896
Gate 8.0,26775480000.0,2602680482259.0947,97.20387766191661,0.2028269443703941,5430788792.450601,8.0,-82125.52192066956,-913502.2529069971
Gate 220.0,3293510000.0,10978218307879.342,3333.288287534983,1.6409869819263228,5404607034.844163,220.0,461145.3549060596,-2530889.7529069954
Gate 206.0,5118720000.0,7667395537719.888,1497.9126691281976,1.0224576272098025,5233674305.55136,206.0,488548.9300626313,-2409045.4941860577
Gate 151.0,12137040000.0,4218168632598.867,347.54508781373937,0.4309116888377913,5229992403.891827,151.0,-206541.75365344496,-2081926.6715116305
Gate 163.0,28360140000.0,2262518872252.966,79.7781277614626,0.18045953954828145,5117857805.924799,163.0,-196740.4749478075,-2168358.06686047
Gate 226.0,10000200000.0,4422605245396.147,442.25167950602463,0.4969216147189449,4969315531.512393,226.0,333928.7578288149,-2570103.9970930475
Gate 91.0,15647870000.0,3009208321345.66,192.30785540432404,0.30365374598832207,4751534342.238285,91.0,-355161.1430062639,-1557536.191860472
Gate 232.0,3923080000.0,7807338647761.696,1990.1043689554372,1.2095485220393218,4745155615.842023,232.0,245117.17118998445,-2659936.6279070103
Gate 25.0,3187460000.0,7098087240153.43,2226.878844017942,1.2927009212734963,4120432478.5224185,25.0,-368762.9175365605,-1061355.9593024037
Gate 161.0,2128460000.0,9130017915340.057,4289.49471229906,1.9049693677790391,4054651100.5429735,161.0,-204541.4926931123,-2131944.840116279
Gate 270.0,6160640000.0,4282236985278.3257,695.0961239868465,0.6492815363034987,3999989803.8127866,270.0,163906.57620042076,-2831398.909883771
Gate 245.0,2523180000.0,7338494148163.941,2908.430689908743,1.5138513732681327,3819719508.002687,245.0,179708.6377870594,-2742966.7877907297
Gate 125.0,3598800000.0,5543280180481.333,1540.3134879630247,1.0394777083642974,3740872376.8614335,125.0,-317356.21085595083,-1771613.9534883734
Gate 99.0,61436980000.0,766870473129.8436,12.482229320676954,0.06024443768763328,3701236313.326372,99.0,-346560.0208768268,-1593549.2732558146
Gate 300.0,3930940000.0,5121869656162.393,1302.9630714695195,0.9415226038620746,3701068864.425584,300.0,88496.73799582764,-3005662.209302393
Gate 150.0,11555170000.0,2415995230760.8765,209.0834865052506,0.3190520319154834,3686700467.6288366,150.0,584161.4039665989,-2067521.438953496
Gate 173.0,37198530000.0,1038333597139.2269,27.913296496910682,0.09697015290953702,3607147142.11,173.0,-199340.8141962439,-2186764.7529069814
Gate 320.0,2958560000.0,5924538476316.628,2002.5074618451638,1.2140013907479696,3591695954.611313,320.0,101898.48643006552,-3132308.212209406
Gate 256.0,7875700000.0,2630166439314.3315,333.95970381227465,0.420868261694056,3314632168.623877,256.0,-236945.72025052513,-2778179.578488413
Gate 9.0,13013770000.0,1727133794330.297,132.71586898572028,0.24384406378509427,3173330561.964546,9.0,-514.8747390397929,-916703.4156976906
Gate 97.0,61436980000.0,591063636187.8826,9.62064926023191,0.051645417861073,3172938504.2223845,97.0,-349560.41231732734,-1590548.1831395356
